emp_no,first_name,last_name,from_date,title,salary
10129,Armond,Peir,1996-01-16,Technique Leader,40000
10130,Nishit,Casperson,1988-06-21,Senior Engineer,40000
10134,Diederik,Siprelle,1994-12-12,Senior Engineer,40000
10138,Perry,Shimshoni,2001-03-03,Senior Engineer,53574
10150,Zhenbing,Perng,1995-11-16,Senior Engineer,70122
10153,Heekeun,Majewski,2000-01-08,Assistant Engineer,54246
10157,Nigel,Aloisi,1997-12-10,Senior Engineer,48770
10159,Serif,Buescher,1996-06-12,Senior Engineer,52881
10160,Debatosh,Khasidashvili,2000-12-06,Senior Staff,91622
10163,Karsten,Szmurlo,1992-02-02,Senior Staff,41603
10166,Samphel,Siegrist,1996-09-02,Engineer,51586
10183,Mechthild,Bonifati,1996-08-11,Staff,40000
10194,Josyula,Hofmeyr,2002-02-14,Senior Staff,64941
10196,Marc,Hellwagner,1999-01-31,Staff,86671
10198,Pranav,Furedi,1993-08-31,Senior Engineer,44076
10203,Steen,Escriba,1995-04-06,Senior Staff,40000
10205,Mabhin,Leijenhorst,1993-08-23,Senior Engineer,40000
10207,Girolamo,Anandan,1997-10-11,Senior Engineer,52783
10215,Xiaobin,Duclos,1991-11-23,Senior Staff,43944
10219,Genta,Kolvik,1993-03-31,Senior Staff,40000
10224,Leon,Trogemann,1996-01-09,Senior Engineer,40000
10228,Karoline,Cesareni,1998-12-22,Senior Staff,79474
10230,Clyde,Vernadat,2002-06-16,Senior Staff,47531
10233,Lein,Vendrig,2000-04-28,Senior Staff,40000
10239,Nikolaos,Llado,1996-05-04,Staff,65146
10240,Remko,Maccarone,1998-10-06,Engineer,73874
10248,Frederique,Tempesti,1997-08-12,Senior Staff,58918
10249,Marie,Boreale,2000-12-07,Senior Engineer,72192
10258,Basil,Ishibashi,1997-05-16,Senior Engineer,66280
10262,Mahendra,Maraist,1996-01-22,Staff,63005
10272,Yishai,Cannane,1997-10-23,Staff,58070
10281,Moty,Kusakari,2000-12-02,Senior Engineer,46123
10282,Hercules,Benzmuller,2001-05-02,Engineer,40000
10283,Kauko,Birjandi,1995-05-26,Senior Engineer,40000
10284,Masali,Murrill,1999-07-06,Engineer,40000
10295,Kristine,Velardi,2000-06-18,Senior Staff,46398
10298,Dietrich,DuCasse,1999-04-27,Staff,40000
10306,Heng,Kilgour,1993-09-06,Staff,44229
10307,Nikolaos,Leaver,1999-10-16,Engineer,40000
10322,Isamu,Dahlbom,1997-01-29,Senior Engineer,41968
10325,Arunachalam,Badr,1990-09-20,Senior Staff,44325
10326,Masali,Czap,1998-09-02,Staff,40000
10328,Serenella,Kawashima,1998-07-17,Engineer,46286
10333,Snehasis,Dymetman,1998-01-16,Senior Engineer,45141
10340,Djelloul,Laventhal,1993-03-30,Senior Staff,68132
10343,Dinah,Syrzycki,1997-10-03,Senior Engineer,40000
10347,Pradeep,Kaminger,1998-02-20,Staff,42199
10349,Oksana,Brodie,1997-09-27,Senior Staff,47518
10353,Phule,Hammerschmidt,1989-08-24,Senior Staff,62656
10355,Satyanarayana,Cochrane,1996-01-26,Staff,70434
10356,Vasilis,Standera,1995-06-26,Senior Staff,45376
10358,Qunsheng,Tagansky,1991-02-19,Technique Leader,63243
10364,Nakhoon,Dengi,1985-11-14,Senior Engineer,51401
10367,Hyuckchul,Gini,2000-06-23,Senior Staff,63565
10372,Anneli,Frijda,1985-07-30,Technique Leader,54505
10377,Marl,Grospietsch,1996-08-24,Senior Engineer,40000
10387,Parto,Wrigley,1999-01-07,Senior Staff,61374
10388,Hironoby,Kaiser,1999-05-28,Staff,62545
10389,Make,Peir,1999-05-13,Technique Leader,55548
10396,Sibyl,Rahier,1986-01-11,Senior Engineer,40393
10397,Irena,Reutenauer,1993-05-21,Technique Leader,40529
10402,Volkmar,Ebeling,1987-01-02,Technique Leader,40000
10404,Prodip,Rosti,1996-08-28,Senior Engineer,51647
10407,Ulf,Siepmann,1999-10-30,Senior Staff,62565
10413,Danel,Impagliazzo,1997-12-26,Senior Staff,45416
10418,Candida,Porotnikoff,1996-10-04,Staff,52224
10422,Greger,Rubsam,1995-01-03,Engineer,45725
10426,Arunas,Luce,1985-07-06,Technique Leader,65757
10429,Martien,Improta,1988-09-23,Senior Engineer,40000
10432,Hisao,Tiemann,1996-08-12,Senior Staff,40000
10433,Reuven,Dengi,1999-11-27,Engineer,40000
10451,Bodh,Ranta,1998-03-12,Senior Engineer,46275
10453,Tsvetan,Matzel,1993-04-02,Senior Staff,40000
10463,Ung,Zaiane,1994-02-17,Staff,66480
10477,Guoxiang,Trogemann,2002-05-26,Senior Engineer,55138
10486,Amstein,Kossowski,1996-10-07,Senior Engineer,71692
10494,Yakkov,Servieres,2000-12-17,Senior Engineer,50094
10497,Pramod,Rabehasaina,1999-01-22,Senior Engineer,63707
10499,Maik,Luft,2001-07-31,Senior Staff,40000
10503,Dannz,Pell,1997-03-13,Engineer,40000
10504,Xiong,Varker,1999-10-19,Staff,43931
10509,Abdelwaheb,Riesenhuber,1997-10-06,Senior Staff,49292
10512,Udi,Gihr,1998-11-28,Senior Staff,40000
10517,Tiina,Speek,1990-12-25,Senior Staff,65330
10522,Marke,Cesareni,1995-12-12,Senior Staff,40000
10529,Ymte,Yetto,1997-07-04,Assistant Engineer,47840
10531,Oguz,Gimbel,1995-03-16,Staff,49168
10542,Yannis,Couchot,1992-02-07,Senior Engineer,40000
10548,Ramalingam,Gunderson,1993-07-04,Senior Staff,90631
10552,Kazuhito,Shiratori,1998-08-31,Senior Engineer,80483
10564,Jianhao,Thisen,2000-11-22,Senior Engineer,46660
10568,Gao,Poulakidas,1995-07-08,Staff,64356
10586,Kirk,Vuskovic,2000-02-04,Senior Engineer,47541
10593,Falguni,Kenevan,1999-09-12,Senior Engineer,71435
10596,Sanjit,Coors,2001-05-23,Senior Staff,58689
10603,Wayne,Restivo,1995-07-20,Staff,101271
10610,Irena,Roccetti,1997-03-30,Engineer,49812
10614,Gila,Ozeri,1998-03-03,Senior Engineer,40000
10615,Keung,Delgrande,2002-03-10,Senior Staff,43533
10623,Aleksander,Danlos,1999-01-15,Senior Engineer,60268
10624,Sham,Gyorkos,1990-05-07,Technique Leader,40000
10628,Krisda,Krogh,2001-03-14,Senior Engineer,41650
10630,Bezalel,Katzenelson,1997-01-13,Engineer,40000
10631,Inderjeet,Chaudhuri,1994-10-18,Engineer,40000
10634,Nahid,Chepyzhov,2000-11-10,Senior Engineer,45179
10636,Saeko,Porotnikoff,1996-09-25,Staff,40904
10639,Pramod,Erol,1999-10-26,Senior Engineer,46291
10641,Guozhong,Zucker,1999-03-21,Engineer,41785
10642,Hirochika,Narlikar,1998-10-05,Engineer,40000
10653,Otmar,Feinberg,1987-04-30,Senior Engineer,40000
10667,Makato,Cusworth,1999-07-28,Senior Staff,40000
10671,Parviz,Rebaine,2001-09-13,Senior Staff,74037
10676,Valeri,Danley,1999-09-04,Engineer,58226
10683,Guiseppe,Stranks,1997-06-23,Senior Engineer,40000
10693,Berhard,Daescu,1991-01-08,Senior Staff,40000
10696,Unal,Fendler,1991-09-09,Technique Leader,68913
10702,Bader,Szemeredi,1991-01-14,Senior Engineer,46581
10712,Uma,Koprowski,2001-08-18,Senior Engineer,40000
10718,Adib,Rullman,1997-07-21,Senior Engineer,75473
10726,Zita,Minakawa,2001-02-24,Senior Engineer,46315
10734,Sachar,Erdi,1995-12-19,Engineer,47377
10741,Sven,Huttel,1997-01-06,Senior Staff,50265
10742,Shim,Wiegley,1997-04-03,Technique Leader,67405
10745,Poorav,Ranze,1997-01-22,Senior Engineer,40000
10749,King,Brendel,1990-09-26,Senior Engineer,60829
10750,Roddy,Demeyer,1998-11-06,Technique Leader,40000
10764,Yunming,Beetstra,1998-11-27,Senior Engineer,70720
10767,Monique,Doering,1997-07-15,Staff,40651
10768,Ishfaq,Candan,1990-07-04,Senior Engineer,65717
10778,Selwyn,Merey,1986-07-04,Senior Staff,64996
10791,Tadahiko,Sgarro,1995-07-31,Senior Engineer,40000
10795,Supot,Naudin,1999-05-03,Senior Staff,84206
10808,Chenxi,Leijenhorst,1987-03-07,Senior Engineer,40000
10811,Ashish,Fortenbacher,1997-07-08,Engineer,40000
10813,Shalesh,Shumilov,1990-04-27,Senior Staff,53246
10814,Nidapan,Dymetman,1998-07-17,Senior Staff,59378
10826,Arnd,Anandan,1993-01-22,Senior Engineer,59506
10827,Willard,Danley,1996-11-07,Staff,58322
10830,Fen,Fiebach,1997-08-23,Senior Staff,47420
10831,Toong,Driscoll,1998-02-22,Technique Leader,82330
10833,Krisda,Gecseg,1998-12-23,Technique Leader,40000
10834,Huiqun,Rajcani,1999-11-24,Engineer,53869
10835,Tomoyuki,Kermarrec,1995-08-22,Engineer,40000
10836,Jianhua,Leivant,1987-08-10,Senior Staff,65502
10844,Dipayan,Koprowski,1997-04-25,Engineer,40000
10846,Tokuyasu,Serre,1995-01-17,Senior Engineer,40000
10847,Theirry,Danley,1992-07-24,Senior Staff,40000
10848,Fen,Bratsberg,1992-04-20,Senior Engineer,50475
10849,Makato,Mayerwieser,2001-06-24,Engineer,66065
10854,Jagoda,Nannarelli,1998-07-13,Engineer,40000
10858,Kenroku,Gonthier,2002-01-01,Senior Engineer,47847
10871,Aram,Gilg,1999-06-16,Staff,40000
10872,Karoline,Speel,1996-09-05,Senior Staff,40000
10873,Sukumar,Wegerle,1994-03-23,Staff,65835
10878,Lakshmi,Deville,1997-04-25,Staff,72102
10879,Muzhong,Chleq,1985-08-15,Senior Engineer,65651
10882,Fun,Heuser,1999-04-29,Engineer,40000
10883,Shimshon,Champarnaud,1996-12-28,Engineer,40000
10885,Rayond,Cronau,1991-08-19,Senior Staff,78613
10887,Lunjin,DeMori,1989-03-17,Senior Engineer,69570
10900,Ferdinand,Prenel,1995-09-07,Senior Engineer,50054
10906,Munehiro,Carrere,1998-10-18,Staff,66204
10909,Georgi,Atchley,2000-12-26,Senior Engineer,80935
10913,Narain,Thummel,1998-10-25,Staff,62428
10920,Ronghao,Narahara,1998-02-23,Senior Staff,40000
10921,Mara,Bahi,1995-07-27,Senior Engineer,72601
10924,Hironoby,Atchley,1997-08-14,Senior Staff,84783
10926,Leni,Eppinger,1995-04-30,Senior Engineer,43219
10927,Gal,Scallan,1993-09-12,Senior Staff,51819
10930,Arch,Minakawa,1998-11-22,Senior Engineer,53785
10932,Avishai,Picci,1999-09-09,Senior Engineer,40000
10936,Mountaz,Schicker,1996-05-08,Senior Staff,40000
10942,Toshimitsu,Larfeldt,1996-01-21,Engineer,40000
10943,Berna,Skafidas,1999-05-22,Senior Engineer,45890
10944,Remko,Zyda,1995-09-07,Senior Engineer,42872
10947,Gor,Usery,2001-11-15,Senior Staff,43068
10949,Shigeichiro,Wroclawski,1996-06-28,Senior Staff,58253
10956,Arno,Picel,1995-12-02,Engineer,40000
10965,Eckart,Braunschweig,1986-07-29,Senior Staff,61654
10969,Premal,Noriega,1994-05-12,Senior Engineer,40000
10974,Muneo,Papsdorf,1999-05-17,Senior Engineer,56005
10986,Masako,Schiper,1985-10-11,Technique Leader,43900
10987,Flemming,Baezner,1997-05-21,Engineer,46108
10988,Chinya,Deyuan,1985-06-19,Senior Engineer,54174
10989,Sumali,Candan,1991-07-20,Senior Staff,46406
10990,Shin,Foote,1990-08-06,Technique Leader,40000
10996,Matk,Rahimi,1996-02-07,Senior Staff,43564
11004,JoAnna,Decleir,1998-01-18,Senior Engineer,40226
11009,Alper,Axelband,1993-09-09,Senior Staff,75111
11012,Taegyun,Speckmann,1996-07-06,Staff,72092
11019,Leon,Huttel,1997-05-24,Senior Engineer,69387
11021,Srinidhi,Henders,1998-02-02,Staff,62670
11027,Remzi,Cappello,1996-05-06,Senior Engineer,40000
11031,Ottavia,Walstra,1993-10-24,Senior Staff,71654
11032,Erez,Schaaf,1994-06-06,Staff,40000
11037,Lansing,Maliniak,1995-01-28,Senior Engineer,40000
11038,Jinya,Beidas,1992-07-15,Senior Staff,44993
11042,Gou,Breugel,2000-06-21,Senior Engineer,40000
11048,Jaques,Demke,1999-05-27,Senior Staff,65697
11050,Elvis,Katiyar,1991-05-06,Senior Staff,52251
11051,Przemyslawa,Erol,2000-03-26,Senior Engineer,40000
11056,Palash,Speel,1997-07-01,Staff,79354
11061,Pintsang,Erni,2002-02-19,Senior Staff,81257
11064,Shawna,Vieri,2002-02-27,Senior Engineer,48411
11066,Shaz,Langford,1996-04-30,Senior Staff,53496
11070,Adib,Raney,1991-07-24,Senior Engineer,40000
11071,Kwan,Sigstam,2001-05-23,Senior Engineer,40000
11075,Karsten,Belinskaya,1998-05-06,Senior Engineer,76877
11079,Piyush,Garigliano,2001-05-26,Senior Engineer,46239
11081,Barry,Boyle,1994-06-17,Senior Staff,65686
11083,Shimshon,Ducloy,2000-10-04,Senior Staff,90972
11084,Greger,Senzako,1999-05-31,Senior Engineer,52121
11085,Hailing,Thummel,1996-02-10,Senior Engineer,66437
11087,Changho,Jayawardene,1998-03-18,Senior Engineer,78081
11089,Conal,Henders,1994-08-13,Senior Staff,41004
11091,Souichi,Ramsay,1999-09-11,Engineer,76253
11092,Narain,Stamatiou,1999-04-05,Staff,78588
11098,Arnd,Covnot,1997-01-08,Engineer,40000
11100,Berna,Cochrane,1993-10-13,Senior Staff,40000
11106,Aris,Iwayama,1997-08-30,Senior Engineer,71446
11111,Udi,Zastre,1994-12-25,Assistant Engineer,49777
11112,Boaz,Mukaidono,1995-04-28,Staff,40000
11113,Shahab,Peng,1991-11-30,Senior Staff,66401
11121,Vugranam,Kakkad,1999-11-01,Senior Engineer,40000
11130,Xinyu,Menhoudj,1997-02-17,Senior Staff,43172
11132,Kristin,Harnett,1999-08-30,Senior Engineer,40000
11133,Nalini,Azulay,1994-03-06,Technique Leader,40000
11134,Sachar,Rajcani,2002-05-19,Senior Engineer,58731
11137,Hugh,Luca,1995-03-16,Engineer,40000
11139,Bogdan,Homond,1995-05-11,Senior Staff,63596
11143,Yongdong,Rosen,1996-05-09,Engineer,63264
11144,Carrsten,Heinisuo,2002-07-19,Senior Staff,56144
11146,Ishfaq,Masand,1997-08-21,Senior Staff,96019
11147,Ayonca,Nitsch,1997-12-04,Engineer,40000
11148,Zhanqiu,Botman,1997-02-08,Senior Staff,56344
11158,Masaki,Hagimont,2002-04-20,Senior Engineer,40000
11162,Kauko,Narlikar,1990-03-28,Senior Engineer,69873
11168,Shmuel,Tetzlaff,2001-07-15,Senior Staff,72944
11170,Minghong,Cannard,1990-06-20,Senior Engineer,44531
11174,Akhilish,Milicia,1999-06-07,Engineer,45806
11177,Chrisa,dAstous,1999-09-11,Senior Engineer,40000
11180,Mitsuyuki,Bojadziev,1992-06-10,Senior Engineer,40000
11181,Hausi,Cullers,1997-11-03,Engineer,40000
11185,Aloys,Baezner,2000-01-26,Senior Staff,40000
11186,Kshitij,Stasinski,2000-12-09,Senior Engineer,40000
11189,Dante,Bodoff,1991-09-07,Senior Staff,71798
11192,Apostol,Bahr,1998-04-07,Engineer,40000
11197,Tadahiro,Fordan,1989-09-12,Senior Staff,88741
11201,Jouko,Masaki,1995-10-31,Staff,49454
11204,Diederik,Covnot,1985-09-18,Technique Leader,40000
11207,Saeed,Gips,1999-01-31,Engineer,49728
11208,Saniya,Valtorta,1994-11-17,Technique Leader,83660
11211,Yurij,Rissland,1985-09-17,Senior Engineer,72668
11213,Vugranam,Munoz,1999-02-04,Technique Leader,40000
11217,Kellie,Mawatari,1990-03-11,Senior Engineer,40000
11229,Gretta,Ramamoorthy,2000-07-25,Senior Engineer,48214
11232,Hidefumi,Crelier,2000-08-01,Senior Staff,43863
11233,Sanjit,Waschkowski,1998-12-14,Senior Engineer,46070
11240,Kiam,Condotta,1997-01-06,Engineer,61739
11243,Udi,Desikan,2000-01-20,Assistant Engineer,47598
11249,Randi,Cyre,1994-09-22,Engineer,43324
11251,Bezalel,Chinal,1993-06-15,Senior Staff,69432
11253,Koldo,Pokrovskii,2000-05-22,Senior Engineer,40000
11254,Danel,Rindone,1998-12-19,Staff,50562
11258,Aris,Maccarone,1998-03-28,Senior Staff,40000
11266,Florina,Rohrbach,2002-05-12,Senior Engineer,40000
11267,Shaunak,Zaumen,1996-04-09,Senior Engineer,65990
11268,Aimee,Petersohn,1995-10-25,Senior Engineer,40000
11274,Masanao,Nicolson,1999-12-13,Staff,40000
11275,Hitomi,Eppinger,1998-04-25,Senior Engineer,58382
11289,Chuanti,Cherinka,1996-02-23,Senior Engineer,40000
11290,Visit,Dredge,1999-05-13,Engineer,65034
11292,Souichi,Sichman,1996-02-12,Senior Engineer,40000
11294,Tru,Segond,1999-06-13,Senior Engineer,43768
11295,Abdelkader,Lanzelotte,1990-05-15,Senior Staff,66622
11296,Hironobu,Kenevan,1994-09-26,Senior Engineer,40000
11301,Mingzeng,Oxenboll,1996-05-23,Senior Staff,40000
11317,Shigeaki,Hagimont,2000-09-07,Senior Staff,40000
11319,Pranas,Marrakchi,1998-11-01,Assistant Engineer,40000
11320,Atilio,McAlpine,1998-04-06,Senior Staff,45118
11322,Nathalie,Pocchiola,1999-07-08,Senior Engineer,43021
11324,Kauko,Billingsley,1985-08-29,Senior Engineer,54288
11325,Samphel,Rossi,1999-01-10,Engineer,62458
11326,Munenori,Plesums,1999-02-19,Senior Engineer,40000
11338,Kwangsub,Hanratty,1998-10-28,Senior Staff,82210
11339,Flemming,Massonet,1989-12-19,Senior Engineer,40000
11340,Aris,Bala,1998-09-11,Senior Engineer,48813
11343,Susanne,Erez,1995-02-27,Senior Engineer,43306
11347,Anneli,Jonsson,1992-04-19,Senior Engineer,41524
11349,Yurii,Hammerschmidt,1999-06-28,Engineer,46356
11360,Fen,Schach,1997-01-12,Senior Staff,63466
11365,Toshimi,Shinomoto,1997-12-18,Engineer,56463
11373,Yongmao,Keohane,2000-07-18,Senior Staff,45912
11376,Valery,Suomi,1994-03-14,Senior Staff,46964
11380,Kenroku,Pelc,2001-04-18,Senior Engineer,53345
11385,Shiv,Ullian,1999-08-08,Engineer,40000
11386,Alselm,Assaf,1993-11-29,Senior Engineer,47726
11393,Junsik,Junot,1992-04-30,Senior Engineer,40000
11396,Anneke,Servieres,1997-02-04,Engineer,48918
11398,Oscar,Peir,2001-09-07,Senior Staff,44625
11401,Huan,Merey,1995-04-15,Staff,52021
11404,Bedrich,Borovoy,1990-09-25,Technique Leader,42907
11406,Eberhardt,Gini,1996-03-13,Senior Staff,71834
11410,Gro,Vendrig,1999-10-25,Engineer,45665
11415,Sanjiv,Anido,1996-12-07,Engineer,40000
11417,Anneli,Cyne,1992-12-21,Technique Leader,74114
11418,Satosi,Cooley,1991-12-30,Senior Staff,40000
11420,Tsutomu,Lalonde,1992-01-31,Senior Staff,40000
11421,Josyula,Msuda,1995-09-02,Senior Engineer,52416
11423,Guangming,Kopetz,1998-10-13,Staff,43947
11425,Renee,Crelier,1990-08-27,Senior Engineer,40000
11441,Marlo,Aingworth,1987-03-27,Senior Staff,67352
11446,Naftali,Narahara,1999-04-06,Senior Engineer,40000
11449,Kotesh,Asser,2000-02-03,Senior Engineer,61434
11451,Eben,Rajaraman,1990-05-20,Senior Engineer,61848
11452,Shigehito,Luby,2001-08-26,Senior Staff,52083
11459,Duke,Suomi,1992-05-02,Senior Staff,40000
11460,Mana,Maraist,2001-05-28,Senior Engineer,45712
11469,Guttorm,Giaccio,1999-09-08,Senior Engineer,44625
11474,Gennady,Akazan,1993-12-29,Engineer,59016
11476,Manton,Yoshizawa,1994-01-15,Staff,56449
11479,Shridhar,Pleszkun,1999-02-10,Staff,78157
11503,Nathan,Picht,2002-04-09,Senior Engineer,56928
11506,Rance,Picel,1996-04-08,Staff,89747
11509,Aleksander,Feldhoffer,1992-11-11,Senior Engineer,40000
11513,Otmar,Mahnke,1998-08-25,Senior Staff,82525
11515,Ulf,Basawa,1998-09-21,Staff,70182
11518,Jinxi,Oxman,1999-09-22,Senior Staff,40000
11519,Halsur,Chinen,1997-06-12,Senior Staff,61444
11523,Yuguang,Pezzoli,1998-12-23,Engineer,64203
11524,Xiadong,Standera,1996-07-05,Senior Engineer,41081
11527,Alagu,Boyle,1999-01-28,Staff,60212
11528,Zito,Dolinsky,1987-06-15,Technique Leader,44026
11531,Radhika,Motley,1992-11-04,Technique Leader,53370
11533,Vitaly,Lorch,1991-08-20,Technique Leader,40000
11537,DAIDA,Pehl,1986-07-06,Senior Staff,96023
11540,Chanjung,Portugali,2002-07-02,Senior Engineer,70043
11554,Subhash,Taubenfeld,1998-07-15,Staff,46065
11555,Kotesh,Perfilyeva,1991-10-14,Senior Staff,40000
11567,Teiji,Mitzlaff,1996-02-03,Senior Staff,86261
11568,Martins,Fujisaki,2000-03-13,Senior Engineer,54673
11573,Pranas,Hutton,1995-02-04,Senior Engineer,46194
11575,Godehard,Plotkin,2000-05-31,Engineer,50896
11577,Mayumi,Deyuan,1998-09-23,Senior Engineer,40000
11581,Patricio,Rosenbaum,2001-11-13,Senior Engineer,46950
11587,Shem,Zambonelli,1989-04-24,Senior Engineer,40000
11589,Gina,Plessier,2001-05-06,Senior Engineer,58444
11595,Takanari,Kamber,1992-09-08,Senior Staff,68224
11596,Yannik,Gunderson,1995-11-23,Staff,54076
11602,Somnath,Malabarba,2001-06-21,Senior Staff,58575
11603,Herb,Swen,1994-04-13,Senior Staff,69180
11606,Perry,Pepe,1999-09-27,Senior Staff,40000
11607,Tomokazu,Foong,1995-04-19,Engineer,49584
11615,Shem,Isaak,2000-08-28,Senior Staff,46591
11616,Zhilian,Brendel,1998-12-30,Engineer,41900
11624,Adil,Gammage,1996-07-15,Senior Engineer,42001
11628,Fan,Malinowski,1997-10-23,Senior Engineer,43966
11640,Valeri,Coorg,1988-09-26,Senior Engineer,52520
11641,Chikako,Rothenberg,1991-06-18,Senior Engineer,53327
11644,Sanjit,Zaiane,1995-08-09,Assistant Engineer,80722
11646,Lobel,Rubsam,1999-12-15,Engineer,55411
11647,Magy,Nitsche,1993-05-11,Senior Engineer,40000
11649,Shen,Bernardinello,1992-12-11,Technique Leader,40000
11660,Gill,Stenning,1994-11-22,Senior Staff,65758
11664,Oksana,Brizzi,1990-09-07,Senior Staff,70380
11667,Kristian,Marchegay,1996-09-07,Senior Staff,79814
11673,Henk,Felder,1989-06-10,Technique Leader,40000
11676,Valeri,Ferriere,1998-07-15,Engineer,43310
11681,Fumitake,Benzmuller,1995-08-28,Senior Engineer,40000
11684,Oksana,Gide,1995-02-21,Senior Staff,68753
11690,Domenick,Raczkowsky,1997-09-23,Staff,44420
11693,Hideo,Coorg,1991-08-24,Senior Engineer,70403
11696,Dante,Rothe,1994-10-23,Senior Staff,51633
11713,Danel,Heusch,2000-10-03,Senior Engineer,53387
11732,Sanjoy,Ranft,1996-12-22,Senior Engineer,40000
11733,Leszek,Sudbeck,2001-01-11,Senior Engineer,46092
11735,Amalendu,Picci,1997-07-14,Senior Staff,40000
11736,Shugo,Uchoa,1994-03-07,Senior Engineer,44127
11737,Martina,Garnier,1995-07-11,Assistant Engineer,48832
11746,Koichi,Marrakchi,1995-11-18,Senior Staff,55951
11748,Lihong,Massonet,1996-07-24,Engineer,54491
11751,Jiafu,Emiris,1993-11-03,Senior Staff,40000
11756,Abdelwaheb,Vakili,1999-11-26,Engineer,59493
11763,Yuriy,Liesche,1997-04-18,Engineer,40000
11764,Sanjay,Anick,1996-12-15,Senior Engineer,64875
11765,Zorica,Junet,2000-07-03,Senior Staff,40000
11769,Chandrasekaran,Lampe,2001-10-22,Senior Staff,40000
11770,Arumugam,Jakobus,2000-11-29,Senior Engineer,40000
11772,Gaurav,Penz,1999-11-07,Engineer,61295
11774,Aron,Wroclawski,1998-11-26,Engineer,40000
11778,Dhritiman,Fontan,1997-12-28,Senior Engineer,40000
11779,Shunichi,Thombley,1996-11-21,Staff,40000
11791,Gal,Mamelak,1994-11-15,Senior Engineer,40000
11797,Chenxi,Thambidurai,1996-08-30,Senior Staff,88050
11801,Tommaso,Dayang,1997-06-12,Senior Staff,67265
11807,Chriss,Binding,1992-07-11,Technique Leader,40000
11810,Amabile,Bhattacharjee,1992-01-05,Senior Engineer,41256
11811,Herb,Boissier,1998-03-28,Senior Staff,52695
11817,Niranjan,Markovitch,1993-04-12,Senior Staff,50638
11822,Sastry,Madeira,1996-07-07,Staff,67396
11823,Weiyi,Iacovou,1995-10-23,Senior Engineer,72637
11829,Chaosheng,Pettis,1999-10-11,Assistant Engineer,40000
11832,Arto,Zlotek,1996-02-04,Engineer,40000
11836,Ortrud,Bakhtari,1989-07-28,Senior Staff,40000
11841,Elvia,Bugrara,1996-04-02,Staff,90296
11842,Moto,Piazza,1999-12-11,Senior Staff,40000
11844,Shawna,Demeyer,1995-01-27,Senior Engineer,78049
11846,Fai,Perly,1999-06-22,Senior Engineer,53448
11853,Zeljko,Kusakabe,1996-11-17,Senior Staff,61941
11857,Divier,Farrag,1986-08-27,Senior Staff,94805
11862,Alejandra,Deville,1998-01-20,Senior Engineer,46011
11864,Pradeep,Kriebel,1995-11-02,Staff,52517
11868,Kwee,Demke,1995-04-03,Engineer,48349
11869,Fumino,Luca,1996-08-12,Engineer,62968
11871,Nalini,Sommen,1998-10-13,Senior Engineer,67424
11872,Cheong,Riexinger,2002-02-12,Senior Staff,43159
11876,Leszek,Kobuchi,2000-06-07,Senior Engineer,45372
11881,Arra,Staelin,1995-04-08,Senior Staff,76541
11888,Badri,Azulay,1999-11-28,Senior Staff,53720
11894,Mitchel,Validov,1988-06-22,Senior Engineer,56198
11896,Shaunak,Benzmuller,1990-07-04,Technique Leader,40000
11897,Cordelia,Setlzner,1997-06-16,Senior Staff,80049
